Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
2021-06-01,18728.4439,29966.4439,10715.4439,8013.00,19251.00
2021-06-02,20852.4506,15949.4506,1669.4506,19183.00,14280.00
2021-06-03,3458.4217,27429.4217,2944.4217, 514.00,24485.00
2021-06-04,16908.0067,21022.0067,6798.0067,10110.00,14224.00
2021-06-05,20672.0669,29633.0669,11007.0669,9665.00,18626.00
2021-06-06,19787.0517,32239.0517,8858.0517,10929.00,23381.00
2021-06-07,19635.5783,29329.5783,9482.5783,10153.00,19847.00
2021-06-08,11596.7933,26557.7933,8464.7933,3132.00,18093.00
2021-06-09,20413.2056,33931.2056,9257.2056,11156.00,24674.00
2021-06-10,7720.1706,49166.1706,7705.1706,15.00,41461.00
2021-06-11,16268.5333,43276.5333,10096.5333,6172.00,33180.00
2021-06-12,19579.5567,36356.5567,10856.5567,8723.00,25500.00
2021-06-13,19265.2178,35349.2178,8642.2178,10623.00,26707.00
2021-06-14,14450.4958,31465.4958,8392.4958,6058.00,23073.00
2021-06-15,12133.3103,25883.3103,8159.3103,3974.00,17724.00
2021-06-16,18254.0408,29243.0408,9514.0408,8740.00,19729.00
2021-06-17,19273.6536,26394.6536,8693.6536,10580.00,17701.00
2021-06-18,15755.4899,27933.4899,7685.6786,9063.00,21241.00
2021-06-19,7700.5794,29257.5794,6188.5794,1512.00,23069.00
2021-06-20,10698.4467,33822.4467,6803.4467,3895.00,27019.00
2021-06-21,14348.6514,25492.6514,4749.6514,9599.00,20743.00
2021-06-22,15260.5192,34716.5192,8907.5192,6353.00,25809.00
2021-06-23,16635.0933,30024.0933,10600.0933,6035.00,19424.00
2021-06-24,12707.4533,23659.4533,6165.4533,6542.00,17494.00
2021-06-25,19116.5444,19989.5444,6130.5444,12986.00,13859.00
2021-06-26,19620.2297,22085.2297,9966.2297,9654.00,12119.00
2021-06-27,19180.1008,29377.1008,7914.1008,11266.00,21463.00
2021-06-28,14400.3475,23647.3475,7968.3475,6432.00,15679.00
2021-06-29,11746.8789,23577.8789,6918.8789,4828.00,16659.00
2021-06-30,16432.425 ,23990.425 ,8241.425 ,8191.00,15749.00
2021-07-01,13094.8647,23946.8647,7790.8647,5304.00,16156.00
2021-07-02,14671.0425,21084.0425,6865.0425,7806.00,14219.00
2021-07-03,19530.1758,28891.1758,10243.1758,9287.00,18648.00
2021-07-04,20343.5856,39182.5856,10862.5856,9481.00,28320.00
2021-07-05,20089.4494,37052.4494,9628.4494,10461.00,27424.00
2021-07-06,20134.6933,35676.6933,8407.6933,11727.00,27269.00
2021-07-07,19511.8708,34770.8708,11327.8708,8184.00,23443.00
2021-07-08,19260.8925,37007.8925,12496.8925,6764.00,24511.00
2021-07-09,5472.1869,32822.1869,5464.1869,8.00,27358.00
2021-07-10,11428.0681,29824.0681,9889.0681,1539.00,19935.00
2021-07-11,17193.7403,33763.7403,10944.7403,6249.00,22819.00
2021-07-12,20136.9831,29674.9831,8230.9831,11906.00,21444.00
2021-07-13,19840.9436,28894.9436,6352.9436,13488.00,22542.00
2021-07-14,5081.7458,29655.7458,4291.7458, 790.00,25364.00
2021-07-15,17372.2108,28048.2108,6796.2108,10576.00,21252.00
2021-07-16,19719.0161,23552.0161,6504.0161,13215.00,17048.00
2021-07-17,20858.6183,31285.6183,9395.6183,11463.00,21890.00
2021-07-18,22712.3225,28755.3225,10952.3225,11760.00,17803.00
2021-07-19,18535.4478,28754.4478,7868.4478,10667.00,20886.00
2021-07-20,16234.075 ,37400.075 ,10246.075 ,5988.00,27154.00
2021-07-21,23114.4317,27028.4317,6506.4317,16608.00,20522.00
2021-07-22,24280.8658,34374.8658,13076.8658,11204.00,21298.00
2021-07-23,14352.9264,27218.9264,7332.9264,7020.00,19886.00
2021-07-24,20371.9561,27140.9561,9584.9561,10787.00,17556.00
2021-07-25,20644.8289,32939.8289,9746.8289,10898.00,23193.00
2021-07-26,14851.9256,41161.9256,10208.9256,4643.00,30953.00
2021-07-27,24385.5489,23663.5489,8336.5489,16049.00,15327.00
2021-07-28,21851.2397,24382.2397,10372.2397,11479.00,14010.00
2021-07-29,26535.7394,24441.7394,9498.7394,17037.00,14943.00
2021-07-30,27002.0778,31334.0778,11998.0778,15004.00,19336.00
2021-07-31,21223.64,21821.64,9355.64,11868.00,12466.00
2021-08-01,14504.1019,17844.1019,5983.1019,8521.00,11861.00
2021-08-02,23427.9594,24705.9594,7551.9594,15876.00,17154.00
2021-08-03,27335.8406,19729.8406,9348.8406,17987.00,10381.00
2021-08-04,28593.1333,25698.1333,9013.1333,19580.00,16685.00
2021-08-05,28438.56,24188.56,8151.56,20287.00,16037.00
2021-08-06,29899.1847,22798.1847,7262.1847,22637.00,15536.00
2021-08-07,30028.475 ,22085.475 ,10834.475 ,19194.00,11251.00
2021-08-08,18314.4944,22141.4944,8172.4944,10142.00,13969.00
2021-08-09,25037.2494,22578.2494,8410.2494,16627.00,14168.00
2021-08-10,27151.4311,20060.4311,8221.4311,18930.00,11839.00
2021-08-11,29040.3378,18252.3378,7023.3378,22017.00,11229.00
